10, 11, 9, 6, 10, 11, 11, 12, 11, 10, 11, 10, 12, 11, 12, 12, 6, 8, 10, 10, 10, 8, 11, 10, 11, 11, 11, 11, 11, 11, 
8, 12, 12, 11, 12, 8, 11, 13, 11, 11, 11, 12, 12, 11, 11, 10, 11, 13, 12, 12, 12, 11, 13, 11, 11, 12, 12, 12, 12, 11, 
13, 8, 12, 13, 13, 13, 13, 11, 10, 13, 11, 13, 12, 13, 12, 12, 13, 13, 10, 11, 10, 12, 12, 13, 12, 11, 13, 13, 12, 13, 
14, 13, 14, 13, 13, 13, 12, 12, 13, 12, 13, 7, 13, 12, 13, 12, 12, 12, 13, 13, 14, 14, 13, 11, 14, 13, 13, 14, 13, 13, 
13, 12, 14, 14, 13, 13, 13, 13, 12, 14, 13, 9, 14, 13, 13, 13, 14, 12, 14, 13, 9, 14, 13, 8, 11, 12, 12, 13, 13, 14, 
14, 14, 13, 13, 12, 13, 8, 14, 14, 13, 14, 14, 14, 12, 10, 14, 13, 13, 11, 12, 12, 14, 12, 9, 13, 13, 14, 14, 12, 13, 
12, 14, 13, 13, 13, 14, 12, 10, 15, 13, 14, 14, 14, 13, 13, 12, 11, 14, 14, 14, 13, 13, 11, 13, 14, 15, 14, 12, 13, 11, 
15, 12, 13, 15, 14, 14, 15, 14, 14, 13, 13, 13, 15, 15, 14, 14, 15, 14, 13, 13, 13, 9, 15, 14, 12, 13, 13, 11, 14, 12, 
14, 15, 15, 14, 14, 15, 11, 14, 10, 14, 15, 14, 13, 14, 12, 13, 11, 11, 12, 15, 13, 15, 12, 14, 15, 14, 14, 15, 14, 15, 
14, 14, 15, 13, 14, 15, 14, 14, 15, 14, 15, 14, 14, 8, 13, 15, 13, 14, 15, 15, 14, 13, 15, 11, 12, 14, 12, 14, 14, 14, 
